Date,Demographic_category,Administered_Dose1,Administered_Dose1_pct_known,Administered_Dose1_pct_US,Series_Complete_Yes,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup,Series_Complete_Pop_Pct_known,Series_Complete_Pop_Pct_US,Booster_Doses_Vax_pct_agegroup,Booster_Doses_Pop_Pct_known,Booster_Doses_Vax_Pct_US,Booster_Doses_Pop_Pct_known_Last14Days,Booster_Doses_Yes,Booster_Doses_Yes_Last14Days
3/7/22,Sex_known,251872388,99.9,99.1,214674295,,,99.9,99.3,45.9,99.9,99.9,99.9,95074509,1176808
3/7/22,Ages_16-17_yrs,5992482,2.4,2.4,5137384,71.4,61.2,2.4,2.4,27,1.5,2.5,3.8,1388624,44728
3/7/22,Ages_50-64_yrs,58701188,23.1,23.1,51080415,92.2,80.2,23.6,23.6,51.1,27.4,24.5,23.1,26088648,272177
3/7/22,Sex_unknown,2260054,0.9,0.9,1530160,,,0.7,0.7,11.7,0.2,0.7,0.2,176457,2126
3/7/22,Ages_12-15_yrs,11169189,4.4,4.4,9495738,66,56.1,4.4,4.4,19.1,1.9,4.6,8.2,1811134,97218
3/7/22,Race_eth_NHMult_Oth,11253173,6,4.4,10007923,95,95,6,4.6,53.8,6,5.9,6.3,5113728,67017
3/7/22,Race_eth_NHNHOPI,601919,0.3,0.2,541917,64.8,58.4,0.3,0.3,43.3,0.3,0.3,0.7,222631,7915
3/7/22,Ages_75+_yrs,22684554,8.9,8.9,19584018,95,85.5,9.1,9.1,68.8,14.2,9.4,5.6,13478208,65865
3/7/22,Ages_5-11_yrs,9595011,3.8,3.8,7577089,33.4,26.4,3.5,3.5,0,0,0,0,0,0
3/7/22,Race_eth_NHAsian,12609705,6.7,5,11404317,66.4,60,6.8,5.3,66.4,8.3,6.6,9.3,7089752,98240
3/7/22,Race_eth_NHAIAN,1729709,0.9,0.7,1432377,71,58.8,0.9,0.7,43,0.7,0.8,1,584229,10506
3/7/22,Race_eth_Hispanic,38932728,20.6,15.3,33157335,61.1,52,19.8,15.3,39.5,14.7,19.6,28,12474360,295115
3/7/22,Race_eth_NHBlack,19368023,10.3,7.6,16861791,47,40.9,10,7.8,42.5,8.1,10.1,13.6,6925293,143123
3/7/22,Age_known,254106702,99.9,99.9,216198501,,,99.9,99.9,45.7,99.9,99.9,99.9,95250966,1178934
3/7/22,Sex_Female,131459438,52.2,51.7,112518459,78,66.8,52.4,52,47.9,54.7,52.5,56.5,52050118,664809
3/7/22,Ages_18-24_yrs,23481752,9.2,9.2,19047406,76.8,62.3,8.8,8.8,29.3,5.9,9.1,11.5,5583946,135457
